heat,name,title
363.7万,滔搏电竞-Knight9,认真玩了
124.8万,Yomi-大圣归来,性感学友 在线耍猴
355.0万,骚男,战斗战斗
331.9万,Zz1tai姿态,超激爽战斗^^
7.5万,南锋丶东奈豹女,最流畅豹女，虎牙最细细细！元气满满！
17.7万,烟雨丶奶七,四川新主播，黑色玫瑰一起玩鸭
17.6万,老船长,性感船长在线biu biu biu~
4.9万,22岁女网友,峡谷之巅1200分辅助upup
60.2万,GimGoon,晚上好 11点水友赛
14.5万,羽毛777,峡谷之巅王者卡Q流寡妇打野教学
247.7万,药水哥s,迟到的祝福
244.7万,mlxgzzz,王者哥哥们给打鼠点分778
17.4万,赵小臭,凑凑：今天只有大明星~
231.6万,芜湖神,冲峡谷第一 今天目标1500
10.1万,沅沅,沅：继续一败涂地！
228.7万,黑店百地,20000血日炎大虫子
211.1万,血色-叫我久哥哥,久哥哥 :欢乐时光开始了 小波比~
162.7万,rita。,？
171.8万,张嘉文,韩服王者张嘉文第一男枪教你闭眼一打五
4.9万,BiBi,睡不着醒不来的人
154.6万,炫神,只玩越级单杀 峡谷冲第一（黑化）
147.1万,节奏,节奏：跟文森特峡谷相声开整
136.2万,MH、金灿毅ChanE,峡谷之巅冲分！
142.8万,爱拍涛哥剑圣,ap龙女 一口一个~
118.0万,豚豚大魔王,渡劫了！
119.5万,火星包,包子：无形之刃最为要命  单排rank
112.2万,血色-十四剑姬,峡谷千分十王者质量局！
91.0万,小丑皇-觅渡,【觅渡-小丑皇】心理学小丑 盒男整活儿
74.8万,星痕OB解说,实况：开局FAKER妖姬遇前队友！
75.6万,阿驴ob,Uz1 ez+猫咪听说很猛！
69.4万,血色-慕枫OB,正在OB：UZ1峡谷之巅~
66.6万,赢城-潘神,潘神：峡谷1501分！第8！
64.7万,屿水,国服第一吸血鬼 给粉丝上王者不上不下播
62.2万,菊花ADC,疯狗跑A金克丝..蕾丝组合
57.1万,赢城-狼王沃李克,以后专心想着自己C
54.4万,英雄联盟赛事,【重播】3月9日LPL春季赛正式开启
45.6万,快乐之王黎某人,心不慌手不抖我们跟着感觉
46.3万,宠妻狂魔,无限乱斗！杀神回归，一起玩
46.4万,南锋丶樊人盖伦,最强德玛:一打高端局就封号
40.5万,至强男刀,至强男刀 峡谷野区小王子
41.6万,萝莉酱,萝莉酱：情 感 主 播
39.3万,虎牙莎莉专属ob,实况ob：莎莉下播战神视角
39.0万,血色-仙仙,啊今天又是平平无奇的一天
32.7万,浪D,D字一族，船长人柱力，无限烈火拥有者。
32.6万,LCK冠军联赛,【重播】4日15:40 DWG vs DRX LCK春季赛
30.5万,2d托儿索,世界第一托儿索！1秒5E！
30.0万,血色-十八佳,峡谷之巅王者上单薇恩500冲1000分
28.2万,随风蛮王,湖南最莽最细蛮王，卡暴击2级越塔！一起玩
29.8万,娱加-羊妹妹,娇魅治愈初体验
28.7万,血色-诗曼,叮咚，接收你的小可爱~
27.8万,小娜娜,浙江第一梦魇。
28.8万,北川,1400分峡谷打野冲分
24.9万,豆豆哥,国服第一提莫
24.3万,TheShy专属OB,"TheShy实况第一视角,优先切TS实况"
22.8万,烟雨丶小素材,虎牙第一EZ！顶级探险家操作~
24.6万,桃十一【一切随缘】,我和我的神仙队友日常
24.0万,聆听-解说梓童,【声优】双马尾萝莉在线御姐音，一起玩
23.2万,皮皮马,主玩吸血鬼，峡谷之巅冲冲冲!
22.4万,LOL-S系列赛事,英雄联盟S系列赛回顾
20.9万,Pupupu,峡谷之巅新号到王者！day 4
22.3万,SC丶番茄【卑微】,今天的段位，明天的目标
21.8万,长沙浪妹lucky,黑色内战.密码123456
21.1万,961丶波比斌,披风乱锤 几何暴力波比
20.7万,DV-紫璇,玩游戏吗？？？
20.2万,RD欣宝,谢谢宇霸阳宝接生  我红了~~
19.3万,小子,不是MVP请举报我，我回来了
19.6万,烟雨丶嘉嘉,下饭主播来了
18.6万,南锋-瑶神皎月,美女少战士 黛安娜
18.1万,亿凡-晚风刀妹,王者刀妹 S10上钻教学 感受视觉盛宴
17.9万,又蓝-中单是个高手,黑色玫瑰 在线锤人
17.4万,你的声优倩,江浙沪好声音（一起玩）
17.2万,ZS-小u盾【Aiuu】,春风轻轻起，等风也等你
17.1万,烟雨丶七月,总会等到的 总会有人对我好
17.0万,温稚,天才女霸王^
15.7万,你好我叫狗哥,第一狗头20分钟800-900Q
16.2万,闪耀-峰子,峰子：俄洛伊又是信心满满的一天 开干
16.2万,柳婉音,qaq
15.9万,李阿特,李阿特：国服第一女盲僧峡谷王者！
15.4万,QG-兔子醬,黑色玫瑰 有车位 一起玩鸭
15.5万,樱皇,电一师大初恋学姐
15.3万,EL-小觅寻,峡谷张瞎子不请自来
14.7万,阿呆奥拉夫,阿呆:今天的目标400分每天100分冲鸭
15.3万,RNG上校OB,"Uz1峡谷复盘,实况小虎小龙堡狼行小明B"
15.4万,血色-王者强,国服第一奥拉夫 王者强
15.4万,秋忆-天然呆小小,您的奶香味小姐姐！
14.6万,小丑不贪就是帅,国服第一小丑2.5攻速双人走A单挑大龙
14.6万,快乐鑫崽,河南新主播 有车位
14.6万,血色-蓝可爱,王者日记：入坑lol的第70天！
14.4万,小牙sama,小牙：不说话装高手？
13.1万,辛吉东,王者炼金冲峡谷黄金
13.6万,LCS职业联赛,【重播】10日13:00 TSM vs C9 2020LCS春季赛
13.5万,聆听-幽幽,内战9=1  最佳通宵伙伴 一起玩啊
14.5万,血色-小草包,今晚通宵
12.6万,风神锐雯Ooo,世界第二锐雯征战峡谷之巅瑞文替风从军
13.5万,四方丶小豪蛮王,专注  认真 多思考 峡谷王者局
13.0万,QG-小阿雯,艾欧尼亚有车位~
12.4万,鑫哥卡萨丁,肉装卡萨丁 冲击韩服王者
12.8万,卡莎,血瓶帮打，进就完事了
12.3万,张总,专业帮粉上王者，国服最强寡妇，男刀锋，
12.6万,烟雨丶景颜,南通王者妹妹 电10有车位 ~ 一起玩
12.3万,兔牙,电十黑色玫瑰上分，冲冲冲
12.2万,万星-枭哥文,成都德莱文：你的通宵伴侣。积分兑换段位
11.7万,熙浅,峡谷1000上1500
11.7万,烟雨丶皮皮7,不上黄金开摄像头剃眉毛 小改改黑色一起玩
11.4万,甜心夏丶,进来看看吗
11.6万,了宝贝,黑色玫瑰匹配车，有车位一起玩
11.5万,邯郸二师兄,最风骚贾克斯.不能错过的武器
10.7万,正恒丶烟毒,若只如初见
11.3万,娱加-木木,徽章上车啦~安徽妹子黑色玫瑰组排~
10.7万,FPX专属OB,Tian刘青松Lwx金贡，FPX专属OB
10.9万,烟雨丶柯南,惠州第一帅 王者1000点光辉教学
11.0万,PM丶泡芙,黑色玫瑰有车位噢
10.8万,音音,玩游戏
10.6万,TC丶琴宝,12点3V3，有兴趣参与嘛~
10.7万,961丶楠妹儿,最甜的人儿诺手小姐姐呀~一起玩
10.8万,岂凡-淼淼,二月已走，三月有幸相识~~~
10.6万,秋忆-十二,冲击峡谷 冲前十
10.4万,刘子阳阿卡丽,三年王者阿卡丽，一区钻3乱杀教学
10.4万,血色-宇神VN,宇神VN：老年薇恩三发入魂？
10.3万,起风丶小甜心,上车让你玩压缩 黑色玫瑰
